,Dia,Hora,MW:From-To,Mvar:From-To
EXP_NE,13,09-30,4717.8,-1174.5
EXP_NE,13,10-00,5070.3,-1171.6000000000001
EXP_NE,13,10-30,5037.0,-1262.8
EXP_NE,13,11-00,5077.5,-1140.0
EXP_NE,13,11-30,5596.6,-1010.6
EXP_NE,13,12-00,5916.0,-991.7
EXP_NE,13,12-30,5971.6,-990.2
EXP_NE,13,13-00,5982.2,-989.0
EXP_NE,13,13-30,6392.9,-985.6
EXP_NE,13,14-00,5798.8,-1048.5
EXP_NE,13,14-30,5622.5,-1030.5
EXP_NE,13,15-00,5694.9,-1031.5
EXP_NE,13,15-30,5708.7,-1052.3
